# data/books.txt - Dữ liệu sách mẫu cho thư viện trường THPT

# Format: ID|Title|Author|Category|Publisher|ISBN|Year|Pages|Language|Description|Location|Copies|Price|Condition|Tags

# VĂN HỌC VIỆT NAM
book027|Toán nâng cao 12|Nguyễn Văn A|Toán học|NXB Đại học Quốc gia|978-604-2-00027-1|2022|320|Tiếng Việt|Sách toán nâng cao cho học sinh giỏi|Kệ B1-09|15|145000|Tốt|toán học,nâng cao,lớp 12,học sinh giỏi

# VẬT LÝ
book028|Vật lý 10|Bộ GD&ĐT|Khoa học|NXB Giáo dục|978-604-2-00028-8|2023|320|Tiếng Việt|Sách giáo khoa Vật lý lớp 10|Kệ B2-01|50|98000|Mới|vật lý,giáo khoa,lớp 10,cơ học,nhiệt học

book029|Vật lý 11|Bộ GD&ĐT|Khoa học|NXB Giáo dục|978-604-2-00029-5|2023|350|Tiếng Việt|Sách giáo khoa Vật lý lớp 11|Kệ B2-02|45|108000|Mới|vật lý,giáo khoa,lớp 11,điện học,từ học

book030|Vật lý 12|Bộ GD&ĐT|Khoa học|NXB Giáo dục|978-604-2-00030-1|2023|380|Tiếng Việt|Sách giáo khoa Vật lý lớp 12|Kệ B2-03|40|118000|Mới|vật lý,giáo khoa,lớp 12,dao động,sóng,lượng tử

book031|Bài tập Vật lý 10|Bộ GD&ĐT|Khoa học|NXB Giáo dục|978-604-2-00031-8|2023|180|Tiếng Việt|Sách bài tập Vật lý lớp 10|Kệ B2-04|35|68000|Mới|vật lý,bài tập,lớp 10

book032|Bài tập Vật lý 11|Bộ GD&ĐT|Khoa học|NXB Giáo dục|978-604-2-00032-5|2023|200|Tiếng Việt|Sách bài tập Vật lý lớp 11|Kệ B2-05|30|78000|Mới|vật lý,bài tập,lớp 11

book033|Bài tập Vật lý 12|Bộ GD&ĐT|Khoa học|NXB Giáo dục|978-604-2-00033-2|2023|220|Tiếng Việt|Sách bài tập Vật lý lớp 12|Kệ B2-06|25|88000|Mới|vật lý,bài tập,lớp 12

# HÓA HỌC
book034|Hóa học 10|Bộ GD&ĐT|Khoa học|NXB Giáo dục|978-604-2-00034-9|2023|280|Tiếng Việt|Sách giáo khoa Hóa học lớp 10|Kệ B3-01|45|92000|Mới|hóa học,giáo khoa,lớp 10,nguyên tử,liên kết

book035|Hóa học 11|Bộ GD&ĐT|Khoa học|NXB Giáo dục|978-604-2-00035-6|2023|300|Tiếng Việt|Sách giáo khoa Hóa học lớp 11|Kệ B3-02|40|102000|Mới|hóa học,giáo khoa,lớp 11,hóa vô cơ,hóa hữu cơ

book036|Hóa học 12|Bộ GD&ĐT|Khoa học|NXB Giáo dục|978-604-2-00036-3|2023|320|Tiếng Việt|Sách giáo khoa Hóa học lớp 12|Kệ B3-03|35|112000|Mới|hóa học,giáo khoa,lớp 12,hóa hữu cơ,polyme

book037|Bài tập Hóa học 10|Bộ GD&ĐT|Khoa học|NXB Giáo dục|978-604-2-00037-0|2023|160|Tiếng Việt|Sách bài tập Hóa học lớp 10|Kệ B3-04|30|62000|Mới|hóa học,bài tập,lớp 10

book038|Bài tập Hóa học 11|Bộ GD&ĐT|Khoa học|NXB Giáo dục|978-604-2-00038-7|2023|180|Tiếng Việt|Sách bài tập Hóa học lớp 11|Kệ B3-05|25|72000|Mới|hóa học,bài tập,lớp 11

book039|Bài tập Hóa học 12|Bộ GD&ĐT|Khoa học|NXB Giáo dục|978-604-2-00039-4|2023|200|Tiếng Việt|Sách bài tập Hóa học lớp 12|Kệ B3-06|20|82000|Mới|hóa học,bài tập,lớp 12

# SINH HỌC
book040|Sinh học 10|Bộ GD&ĐT|Khoa học|NXB Giáo dục|978-604-2-00040-0|2023|260|Tiếng Việt|Sách giáo khoa Sinh học lớp 10|Kệ B4-01|40|88000|Mới|sinh học,giáo khoa,lớp 10,tế bào,di truyền

book041|Sinh học 11|Bộ GD&ĐT|Khoa học|NXB Giáo dục|978-604-2-00041-7|2023|280|Tiếng Việt|Sách giáo khoa Sinh học lớp 11|Kệ B4-02|35|98000|Mới|sinh học,giáo khoa,lớp 11,cơ thể người,thực vật

book042|Sinh học 12|Bộ GD&ĐT|Khoa học|NXB Giáo dục|978-604-2-00042-4|2023|300|Tiếng Việt|Sách giáo khoa Sinh học lớp 12|Kệ B4-03|30|108000|Mới|sinh học,giáo khoa,lớp 12,tiến hóa,sinh thái

book043|Bài tập Sinh học 10|Bộ GD&ĐT|Khoa học|NXB Giáo dục|978-604-2-00043-1|2023|140|Tiếng Việt|Sách bài tập Sinh học lớp 10|Kệ B4-04|25|58000|Mới|sinh học,bài tập,lớp 10

book044|Bài tập Sinh học 11|Bộ GD&ĐT|Khoa học|NXB Giáo dục|978-604-2-00044-8|2023|160|Tiếng Việt|Sách bài tập Sinh học lớp 11|Kệ B4-05|20|68000|Mới|sinh học,bài tập,lớp 11

book045|Bài tập Sinh học 12|Bộ GD&ĐT|Khoa học|NXB Giáo dục|978-604-2-00045-5|2023|180|Tiếng Việt|Sách bài tập Sinh học lớp 12|Kệ B4-06|15|78000|Mới|sinh học,bài tập,lớp 12

# LỊCH SỬ
book046|Lịch sử 10|Bộ GD&ĐT|Lịch sử|NXB Giáo dục|978-604-2-00046-2|2023|240|Tiếng Việt|Sách giáo khoa Lịch sử lớp 10|Kệ C1-01|35|85000|Mới|lịch sử,giáo khoa,lớp 10,thế giới cổ đại

book047|Lịch sử 11|Bộ GD&ĐT|Lịch sử|NXB Giáo dục|978-604-2-00047-9|2023|260|Tiếng Việt|Sách giáo khoa Lịch sử lớp 11|Kệ C1-02|30|95000|Mới|lịch sử,giáo khoa,lớp 11,thế giới cận đại

book048|Lịch sử 12|Bộ GD&ĐT|Lịch sử|NXB Giáo dục|978-604-2-00048-6|2023|280|Tiếng Việt|Sách giáo khoa Lịch sử lớp 12|Kệ C1-03|25|105000|Mới|lịch sử,giáo khoa,lớp 12,thế giới hiện đại

book049|Lịch sử Việt Nam|Trần Trọng Kim|Lịch sử|NXB Khoa học Xã hội|978-604-2-00049-3|2021|520|Tiếng Việt|Lịch sử Việt Nam từ thời cổ đại|Kệ C1-04|20|150000|Tốt|lịch sử,việt nam,tham khảo,cổ đại

book050|Lịch sử thế giới|Nhiều tác giả|Lịch sử|NXB Thế giới|978-604-2-00050-9|2022|600|Tiếng Việt|Tổng quan lịch sử thế giới|Kệ C1-05|15|180000|Tốt|lịch sử,thế giới,tổng quan

# ĐỊA LÝ
book051|Địa lý 10|Bộ GD&ĐT|Địa lý|NXB Giáo dục|978-604-2-00051-6|2023|220|Tiếng Việt|Sách giáo khoa Địa lý lớp 10|Kệ C2-01|35|82000|Mới|địa lý,giáo khoa,lớp 10,tự nhiên

book052|Địa lý 11|Bộ GD&ĐT|Địa lý|NXB Giáo dục|978-604-2-00052-3|2023|240|Tiếng Việt|Sách giáo khoa Địa lý lớp 11|Kệ C2-02|30|92000|Mới|địa lý,giáo khoa,lớp 11,kinh tế xã hội

book053|Địa lý 12|Bộ GD&ĐT|Địa lý|NXB Giáo dục|978-604-2-00053-0|2023|260|Tiếng Việt|Sách giáo khoa Địa lý lớp 12|Kệ C2-03|25|102000|Mới|địa lý,giáo khoa,lớp 12,việt nam

book054|Atlas Địa lý Việt Nam|Viện Địa lý|Địa lý|NXB Bản đồ|978-604-2-00054-7|2022|120|Tiếng Việt|Tập bản đồ địa lý Việt Nam|Kệ C2-04|20|95000|Tốt|địa lý,bản đồ,việt nam,atlas

book055|Atlas Địa lý thế giới|Viện Địa lý|Địa lý|NXB Bản đồ|978-604-2-00055-4|2022|150|Tiếng Việt|Tập bản đồ địa lý thế giới|Kệ C2-05|15|125000|Tốt|địa lý,bản đồ,thế giới,atlas

# NGOẠI NGỮ - TIẾNG ANH
book056|Tiếng Anh 10|Bộ GD&ĐT|Ngoại ngữ|NXB Giáo dục|978-604-2-00056-1|2023|180|Tiếng Anh/Việt|Sách giáo khoa Tiếng Anh lớp 10|Kệ D1-01|50|78000|Mới|tiếng anh,giáo khoa,lớp 10

book057|Tiếng Anh 11|Bộ GD&ĐT|Ngoại ngữ|NXB Giáo dục|978-604-2-00057-8|2023|200|Tiếng Anh/Việt|Sách giáo khoa Tiếng Anh lớp 11|Kệ D1-02|45|88000|Mới|tiếng anh,giáo khoa,lớp 11

book058|Tiếng Anh 12|Bộ GD&ĐT|Ngoại ngữ|NXB Giáo dục|978-604-2-00058-5|2023|220|Tiếng Anh/Việt|Sách giáo khoa Tiếng Anh lớp 12|Kệ D1-03|40|98000|Mới|tiếng anh,giáo khoa,lớp 12

book059|English Grammar in Use|Raymond Murphy|Ngoại ngữ|Cambridge University Press|978-1-108-45782-3|2019|380|Tiếng Anh|Sách ngữ pháp tiếng Anh trung cấp|Kệ D1-04|30|280000|Tốt|tiếng anh,ngữ pháp,trung cấp

book060|Oxford Advanced Learner's Dictionary|Oxford|Ngoại ngữ|Oxford University Press|978-0-19-479900-3|2020|1900|Tiếng Anh|Từ điển tiếng Anh nâng cao|Kệ D1-05|15|450000|Tốt|tiếng anh,từ điển,nâng cao

book061|TOEFL iBT Complete Guide|Bruce Rogers|Ngoại ngữ|NXB Tổng hợp|978-604-2-00061-5|2022|600|Tiếng Anh/Việt|Hướng dẫn thi TOEFL iBT|Kệ D1-06|20|320000|Mới|tiếng anh,toefl,thi cử

book062|IELTS Cambridge 15|Cambridge|Ngoại ngữ|Cambridge University Press|978-1-108-71845-4|2020|180|Tiếng Anh|Đề thi IELTS thực tế|Kệ D1-07|25|250000|Tốt|tiếng anh,ielts,đề thi

# TIN HỌC
book063|Tin học 10|Bộ GD&ĐT|Tin học|NXB Giáo dục|978-604-2-00063-9|2023|160|Tiếng Việt|Sách giáo khoa Tin học lớp 10|Kệ E1-01|40|72000|Mới|tin học,giáo khoa,lớp 10,máy tính

book064|Tin học 11|Bộ GD&ĐT|Tin học|NXB Giáo dục|978-604-2-00064-6|2023|180|Tiếng Việt|Sách giáo khoa Tin học lớp 11|Kệ E1-02|35|82000|Mới|tin học,giáo khoa,lớp 11,lập trình

book065|Tin học 12|Bộ GD&ĐT|Tin học|NXB Giáo dục|978-604-2-00065-3|2023|200|Tiếng Việt|Sách giáo khoa Tin học lớp 12|Kệ E1-03|30|92000|Mới|tin học,giáo khoa,lớp 12,cơ sở dữ liệu

book066|Lập trình Python cơ bản|Nguyễn Văn B|Tin học|NXB Khoa học Kỹ thuật|978-604-2-00066-0|2022|350|Tiếng Việt|Hướng dẫn lập trình Python cho người mới|Kệ E1-04|25|165000|Tốt|tin học,python,lập trình,cơ bản

book067|Lập trình Java|Trần Văn C|Tin học|NXB Khoa học Kỹ thuật|978-604-2-00067-7|2021|420|Tiếng Việt|Giáo trình lập trình Java|Kệ E1-05|20|185000|Tốt|tin học,java,lập trình,hướng đối tượng

book068|Cơ sở dữ liệu|Lê Thị D|Tin học|NXB Đại học Quốc gia|978-604-2-00068-4|2022|280|Tiếng Việt|Giáo trình cơ sở dữ liệu|Kệ E1-06|18|145000|Tốt|tin học,cơ sở dữ liệu,sql

book069|Mạng máy tính|Phạm Văn E|Tin học|NXB Khoa học Kỹ thuật|978-604-2-00069-1|2021|320|Tiếng Việt|Giáo trình mạng máy tính|Kệ E1-07|15|155000|Tốt|tin học,mạng máy tính,internet

book070|An toàn thông tin|Hoàng Văn F|Tin học|NXB Khoa học Kỹ thuật|978-604-2-00070-7|2022|250|Tiếng Việt|Giáo trình an toàn thông tin|Kệ E1-08|12|135000|Tốt|tin học,an toàn,bảo mật

# GIÁO DỤC CÔNG DÂN
book071|GDCD 10|Bộ GD&ĐT|Tham khảo|NXB Giáo dục|978-604-2-00071-4|2023|120|Tiếng Việt|Sách giáo khoa GDCD lớp 10|Kệ F1-01|30|58000|Mới|gdcd,giáo khoa,lớp 10,công dân

book072|GDCD 11|Bộ GD&ĐT|Tham khảo|NXB Giáo dục|978-604-2-00072-1|2023|140|Tiếng Việt|Sách giáo khoa GDCD lớp 11|Kệ F1-02|25|68000|Mới|gdcd,giáo khoa,lớp 11,pháp luật

book073|GDCD 12|Bộ GD&ĐT|Tham khảo|NXB Giáo dục|978-604-2-00073-8|2023|160|Tiếng Việt|Sách giáo khoa GDCD lớp 12|Kệ F1-03|20|78000|Mới|gdcd,giáo khoa,lớp 12,kinh tế

# GIÁO DỤC THỂ CHẤT
book074|Giáo dục thể chất 10-12|Bộ GD&ĐT|Tham khảo|NXB Giáo dục|978-604-2-00074-5|2023|200|Tiếng Việt|Sách giáo khoa Thể dục|Kệ F2-01|20|65000|Mới|thể dục,giáo khoa,sức khỏe

book075|Cẩm nang sức khỏe học sinh|BS. Nguyễn G|Tham khảo|NXB Y học|978-604-2-00075-2|2022|180|Tiếng Việt|Hướng dẫn chăm sóc sức khỏe|Kệ F2-02|15|85000|Tốt|sức khỏe,y tế,học sinh

# SÁCH THAM KHẢO
book076|Từ điển Tiếng Việt|Viện Ngôn ngữ học|Tham khảo|NXB Khoa học Xã hội|978-604-2-00076-9|2021|1200|Tiếng Việt|Từ điển tiếng Việt chuẩn|Kệ F3-01|10|280000|Tốt|từ điển,tiếng việt,tham khảo

book077|Từ điển Anh-Việt|Lê Bá Khánh|Tham khảo|NXB Thế giới|978-604-2-00077-6|2020|800|Tiếng Anh/Việt|Từ điển Anh-Việt phổ thông|Kệ F3-02|15|195000|Tốt|từ điển,anh việt,ngoại ngữ

book078|Từ điển Việt-Anh|Lê Bá Khánh|Tham khảo|NXB Thế giới|978-604-2-00078-3|2020|750|Tiếng Việt/Anh|Từ điển Việt-Anh phổ thông|Kệ F3-03|15|185000|Tốt|từ điển,việt anh,ngoại ngữ

book079|Bách khoa toàn thư|Nhiều tác giả|Tham khảo|NXB Bách khoa|978-604-2-00079-0|2021|2000|Tiếng Việt|Bách khoa toàn thư Việt Nam|Kệ F3-04|5|450000|Tốt|bách khoa,tham khảo,kiến thức tổng hợp

book080|Atlas thế giới|Viện Địa lý|Tham khảo|NXB Bản đồ|978-604-2-00080-6|2022|200|Tiếng Việt|Tập bản đồ thế giới chi tiết|Kệ F3-05|8|165000|Tốt|atlas,bản đồ,địa lý,thế giới

# SÁCH KHOA HỌC PHỔ THÔNG
book081|Vũ trụ trong vỏ hạt dẻ|Stephen Hawking|Khoa học|NXB Thế giới|978-604-2-00081-3|2021|220|Tiếng Việt|Sách khoa học về vũ trụ học|Kệ G1-01|12|125000|Tốt|khoa học,vũ trụ,vật lý,thiên văn

book082|Lược sử thời gian|Stephen Hawking|Khoa học|NXB Thế giới|978-604-2-00082-0|2020|280|Tiếng Việt|Sách về thời gian và không gian|Kệ G1-02|10|145000|Tốt|khoa học,thời gian,vật lý,vũ trụ

book083|Nguồn gốc các loài|Charles Darwin|Khoa học|NXB Khoa học Tự nhiên|978-604-2-00083-7|2021|450|Tiếng Việt|Lý thuyết tiến hóa của Darwin|Kệ G1-03|8|165000|Tốt|khoa học,tiến hóa,sinh học,darwin

book084|Cấu trúc DNA|James Watson|Khoa học|NXB Khoa học Tự nhiên|978-604-2-00084-4|2022|320|Tiếng Việt|Khám phá cấu trúc DNA|Kệ G1-04|10|155000|Tốt|khoa học,dna,sinh học phân tử

book085|Hóa học trong đời sống|Nguyễn Văn H|Khoa học|NXB Khoa học Tự nhiên|978-604-2-00085-1|2021|250|Tiếng Việt|Ứng dụng hóa học trong cuộc sống|Kệ G1-05|15|115000|Tốt|khoa học,hóa học,đời sống

# SÁCH VỀ NGHỆ THUẬT
book086|Lịch sử nghệ thuật thế giới|Ernst Gombrich|Văn học|NXB Mỹ thuật|978-604-2-00086-8|2021|600|Tiếng Việt|Tổng quan lịch sử nghệ thuật|Kệ H1-01|8|220000|Tốt|nghệ thuật,lịch sử,hội họa,điêu khắc

book087|Nghệ thuật Việt Nam|Nguyễn Văn I|Văn học|NXB Mỹ thuật|978-604-2-00087-5|2022|350|Tiếng Việt|Nghệ thuật truyền thống Việt Nam|Kệ H1-02|12|165000|Tốt|nghệ thuật,việt nam,truyền thống,văn hóa

book088|Âm nhạc cổ điển|Mozart Foundation|Văn học|NXB Âm nhạc|978-604-2-00088-2|2021|280|Tiếng Việt|Giới thiệu âm nhạc cổ điển|Kệ H1-03|10|135000|Tốt|âm nhạc,cổ điển,mozart,beethoven

book089|Nhiếp ảnh nghệ thuật|Ansel Adams|Văn học|NXB Mỹ thuật|978-604-2-00089-9|2022|240|Tiếng Việt|Kỹ thuật nhiếp ảnh nghệ thuật|Kệ H1-04|15|145000|Mới|nhiếp ảnh,nghệ thuật,kỹ thuật

book090|Kiến trúc thế giới|Frank Lloyd Wright|Văn học|NXB Xây dựng|978-604-2-00090-5|2021|420|Tiếng Việt|Các công trình kiến trúc nổi tiếng|Kệ H1-05|6|195000|Tốt|kiến trúc,thế giới,công trình,thiết kế

# SÁCH KINH TẾ - QUẢN LÝ
book091|Kinh tế học đại cương|Paul Samuelson|Kinh tế|NXB Kinh tế|978-604-2-00091-2|2021|650|Tiếng Việt|Giáo trình kinh tế học cơ bản|Kệ I1-01|20|185000|Tốt|kinh tế,đại cương,thị trường,cung cầu

book092|Quản trị học|Peter Drucker|Kinh tế|NXB Lao động|978-604-2-00092-9|2022|480|Tiếng Việt|Nguyên lý quản trị hiện đại|Kệ I1-02|15|165000|Mới|quản trị,lãnh đạo,tổ chức,doanh nghiệp

book093|Marketing căn bản|Philip Kotler|Kinh tế|NXB Kinh tế|978-604-2-00093-6|2021|520|Tiếng Việt|Nguyên lý marketing hiện đại|Kệ I1-03|18|175000|Tốt|marketing,bán hàng,thương hiệu,khách hàng

book094|Kế toán tài chính|Nhiều tác giả|Kinh tế|NXB Tài chính|978-604-2-00094-3|2022|380|Tiếng Việt|Giáo trình kế toán tài chính|Kệ I1-04|12|155000|Mới|kế toán,tài chính,báo cáo,kiểm toán

book095|Khởi nghiệp thành công|Steve Jobs|Kinh tế|NXB Trẻ|978-604-2-00095-0|2021|320|Tiếng Việt|Bí quyết khởi nghiệp và đổi mới|Kệ I1-05|25|145000|Tốt|khởi nghiệp,đổi mới,sáng tạo,doanh nghiệp

# SÁCH TÂM LÝ - GIÁO DỤC
book096|Tâm lý học đại cương|David Myers|Tâm lý|NXB Giáo dục|978-604-2-00096-7|2021|580|Tiếng Việt|Giáo trình tâm lý học cơ bản|Kệ J1-01|20|175000|Tốt|tâm lý học,hành vi,nhận thức,cảm xúc

book097|Tâm lý học trẻ em|Jean Piaget|Tâm lý|NXB Giáo dục|978-604-2-00097-4|2022|350|Tiếng Việt|Phát triển tâm lý trẻ em|Kệ J1-02|15|135000|Mới|tâm lý,trẻ em,phát triển,giáo dục

book098|Tâm lý học tuổi teen|Erik Erikson|Tâm lý|NXB Thanh niên|978-604-2-00098-1|2021|280|Tiếng Việt|Tâm lý học lứa tuổi vị thành niên|Kệ J1-03|18|125000|Tốt|tâm lý,tuổi teen,vị thành niên,phát triển

book099|Phương pháp học tập hiệu quả|Tony Buzan|Tâm lý|NXB Giáo dục|978-604-2-00099-8|2022|240|Tiếng Việt|Kỹ thuật học tập và ghi nhớ|Kệ J1-04|30|115000|Mới|học tập,ghi nhớ,kỹ thuật,hiệu quả

book100|Kỹ năng giao tiếp|Dale Carnegie|Tâm lý|NXB Tổng hợp|978-604-2-00100-1|2021|300|Tiếng Việt|Nghệ thuật giao tiếp và thuyết phục|Kệ J1-05|25|135000|Tốt|giao tiếp,thuyết phục,kỹ năng mềm

# SÁCH TRIẾT HỌC
book101|Triết học phương Đông|Lão Tử|Triết học|NXB Văn hóa|978-604-2-00101-8|2021|420|Tiếng Việt|Tư tưởng triết học phương Đông|Kệ K1-01|12|155000|Tốt|triết học,phương đông,lão tử,khổng tử

book102|Triết học phương Tây|Plato|Triết học|NXB Văn hóa|978-604-2-00102-5|2020|480|Tiếng Việt|Lịch sử triết học phương Tây|Kệ K1-02|10|175000|Tốt|triết học,phương tây,plato,aristotle

book103|Triết học Mác-Lênin|Bộ GD&ĐT|Triết học|NXB Chính trị Quốc gia|978-604-2-00103-2|2023|350|Tiếng Việt|Giáo trình triết học Mác-Lênin|Kệ K1-03|25|125000|Mới|triết học,mác lenin,chủ nghĩa xã hội

book104|Tư tưởng Hồ Chí Minh|Viện Hồ Chí Minh|Triết học|NXB Chính trị Quốc gia|978-604-2-00104-9|2023|280|Tiếng Việt|Tư tưởng Hồ Chí Minh về giáo dục|Kệ K1-04|20|115000|Mới|tư tưởng,hồ chí minh,giáo dục,đạo đức

# SÁCH VỀ MÔI TRƯỜNG
